zip,state,county,lat,lng
60407,IL,Grundy County,41.22,-88.26
60416,IL,Grundy County,41.28,-88.27
60420,IL,Livingston County,41.09,-88.42
60424,IL,Grundy County,41.18,-88.31
60437,IL,Grundy County,41.19,-88.56
60444,IL,Grundy County,41.23,-88.42
60447,IL,Grundy County,41.44,-88.25
60450,IL,Grundy County,41.36,-88.42
60460,IL,Livingston County,41,-88.52
60474,IL,Grundy County,41.17,-88.27
60479,IL,Grundy County,41.21,-88.5
60920,IL,Livingston County,41.02,-88.3
60921,IL,Livingston County,40.75,-88.29
60929,IL,Livingston County,40.87,-88.26
60934,IL,Livingston County,40.97,-88.35
61008,IL,Boone County,42.25,-88.84
61011,IL,Boone County,42.4,-88.9
61012,IL,Boone County,42.39,-88.74
61014,IL,Carroll County,42.01,-89.88
61038,IL,Boone County,42.25,-88.73
61046,IL,Carroll County,42.1,-89.83
61051,IL,Carroll County,41.96,-89.77
61053,IL,Carroll County,42.09,-89.97
61065,IL,Boone County,42.36,-88.82
61074,IL,Carroll County,42.09,-90.13
61078,IL,Carroll County,42.15,-89.74
61231,IL,Mercer County,41.19,-90.74
61233,IL,Henry County,41.29,-90.29
61234,IL,Henry County,41.39,-89.9
61235,IL,Henry County,41.41,-90.01
61238,IL,Henry County,41.3,-90.19
61241,IL,Henry County,41.47,-90.34
61254,IL,Henry County,41.44,-90.15
61258,IL,Henry County,41.52,-89.91
61260,IL,Mercer County,41.19,-90.87
61262,IL,Henry County,41.3,-90.35
61263,IL,Mercer County,41.25,-90.6
61272,IL,Mercer County,41.16,-91
61273,IL,Henry County,41.35,-90.37
61274,IL,Henry County,41.35,-90.28
61276,IL,Mercer County,41.31,-90.58
61279,IL,Mercer County,41.33,-90.67
61281,IL,Mercer County,41.31,-90.5
61285,IL,Carroll County,41.95,-90.1
61311,IL,Livingston County,41.05,-88.76
61313,IL,Livingston County,41.06,-88.64
61319,IL,Livingston County,40.99,-88.72
61326,IL,Putnam County,41.26,-89.22
61327,IL,Putnam County,41.25,-89.31
61333,IL,Livingston County,41,-88.89
61335,IL,Putnam County,41.17,-89.2
61336,IL,Putnam County,41.11,-89.19
61340,IL,Putnam County,41.26,-89.24
61363,IL,Putnam County,41.25,-89.18
61401,IL,Knox County,40.95,-90.37
61402,IL,Knox County,40.95,-90.37
61410,IL,Knox County,40.8,-90.4
61412,IL,Warren County,41.06,-90.55
61412,IL,Warren County,41.06,-90.55
61413,IL,Henry County,41.19,-90.38
61414,IL,Knox County,41.11,-90.16
61415,IL,Warren County,40.66,-90.43
61415,IL,Warren County,40.66,-90.43
61417,IL,Warren County,40.8,-90.53
61417,IL,Warren County,40.8,-90.53
61419,IL,Henry County,41.19,-90.11
61423,IL,Warren County,40.88,-90.51
61423,IL,Warren County,40.88,-90.51
61428,IL,Knox County,40.95,-90.1
61430,IL,Knox County,40.94,-90.31
61434,IL,Henry County,41.16,-90.03
61435,IL,Warren County,40.98,-90.6
61435,IL,Warren County,40.98,-90.6
61436,IL,Knox County,40.86,-90.2
61439,IL,Knox County,41.02,-90.35
61442,IL,Mercer County,41.1,-90.93
61443,IL,Henry County,41.24,-89.92
61447,IL,Warren County,40.86,-90.74
61447,IL,Warren County,40.86,-90.74
61448,IL,Knox County,40.9,-90.28
61452,IL,Schuyler County,40.23,-90.62
61453,IL,Warren County,41.01,-90.74
61453,IL,Warren County,41.01,-90.74
61458,IL,Knox County,40.79,-90.16
61462,IL,Warren County,40.91,-90.64
61462,IL,Warren County,40.91,-90.64
61465,IL,Mercer County,41.2,-90.45
61466,IL,Mercer County,41.09,-90.47
61467,IL,Knox County,41.07,-90.22
61468,IL,Henry County,41.28,-90.33
61472,IL,Knox County,41.1,-90.39
61473,IL,Warren County,40.73,-90.66
61473,IL,Warren County,40.73,-90.66
61474,IL,Knox County,40.71,-90.4
61476,IL,Mercer County,41.1,-90.79
61478,IL,Warren County,40.8,-90.78
61478,IL,Warren County,40.8,-90.78
61485,IL,Knox County,41.03,-90.09
61486,IL,Mercer County,41.2,-90.58
61488,IL,Knox County,41.02,-90.27
61489,IL,Knox County,40.92,-90.01
61490,IL,Henry County,41.17,-90.32
61560,IL,Putnam County,41.18,-89.4
61572,IL,Knox County,40.77,-90.01
61739,IL,Livingston County,40.74,-88.51
61740,IL,Livingston County,40.87,-88.86
61741,IL,Livingston County,40.75,-88.4
61743,IL,Livingston County,40.9,-88.75
61756,IL,Macon County,40.03,-88.95
61764,IL,Livingston County,40.87,-88.64
61769,IL,Livingston County,40.89,-88.4
61775,IL,Livingston County,40.65,-88.39
61910,IL,Douglas County,39.68,-88.3
61911,IL,Douglas County,39.71,-88.46
61913,IL,Douglas County,39.79,-88.46
61919,IL,Douglas County,39.79,-88.16
61930,IL,Douglas County,39.68,-88.13
61941,IL,Douglas County,39.8,-88.08
61942,IL,Douglas County,39.79,-87.98
61953,IL,Douglas County,39.79,-88.28
61956,IL,Douglas County,39.86,-88.15
61957,IL,Shelby County,39.43,-88.59
62001,IL,Madison County,38.88,-89.73
62001,IL,Madison County,38.88,-89.73
62002,IL,Madison County,38.9,-90.15
62002,IL,Madison County,38.9,-90.15
62006,IL,Calhoun County,39.03,-90.65
62009,IL,Macoupin County,39.09,-89.8
62010,IL,Madison County,38.9,-90.04
62010,IL,Madison County,38.9,-90.04
62012,IL,Jersey County,39.04,-90.13
62013,IL,Calhoun County,38.95,-90.58
62014,IL,Macoupin County,39.04,-89.95
62015,IL,Montgomery County,39.19,-89.53
62016,IL,Greene County,39.29,-90.41
62017,IL,Montgomery County,39.08,-89.39
62018,IL,Madison County,38.91,-90.08
62018,IL,Madison County,38.91,-90.08
62019,IL,Bond County,39.03,-89.47
62021,IL,Madison County,38.97,-89.99
62021,IL,Madison County,38.97,-89.99
62022,IL,Jersey County,39.04,-90.31
62023,IL,Macoupin County,39.11,-89.78
62024,IL,Madison County,38.88,-90.1
62024,IL,Madison County,38.88,-90.1
62025,IL,Madison County,38.8,-89.96
62025,IL,Madison County,38.8,-89.96
62026,IL,Madison County,38.8,-89.96
62026,IL,Madison County,38.8,-89.96
62027,IL,Greene County,39.28,-90.55
62028,IL,Jersey County,38.95,-90.35
62030,IL,Jersey County,39.15,-90.16
62031,IL,Jersey County,39.1,-90.49
62032,IL,Montgomery County,39.11,-89.27
62033,IL,Macoupin County,39.12,-89.81
62034,IL,Madison County,38.76,-89.97
62034,IL,Madison County,38.76,-89.97
